Year,Pounds,Metric Tons,Dollars,Collection
1950,"185,481,500","84,134","1,269,467",Commercial
1951,"59,738,100","27,097","913,689",Commercial
1952,"144,661,100","65,618","1,752,497",Commercial
1953,"100,587,500","45,626","1,621,170",Commercial
1954,"123,602,000","56,065","1,769,516",Commercial
1955,"99,415,800","45,095","1,352,969",Commercial
1956,"140,472,300","63,718","2,299,320",Commercial
1957,"153,621,100","69,682","2,312,056",Commercial
1958,"170,977,300","77,555","2,562,805",Commercial
1959,"117,149,800","53,139","1,880,121",Commercial
1960,"152,327,300","69,095","2,486,250",Commercial
1961,"54,462,600","24,704","1,035,522",Commercial
1962,"156,699,400","71,078","2,374,552",Commercial
1963,"152,316,800","69,090","1,649,042",Commercial
1964,"60,866,050","27,609","1,274,588",Commercial
1965,"70,179,853","31,833","1,167,683",Commercial
1966,"58,298,800","26,444","1,208,693",Commercial
1967,"64,599,800","29,302","1,537,697",Commercial
1968,"69,703,400","31,617","1,668,443",Commercial
1969,"54,213,700","24,591","967,657",Commercial
1970,"36,593,200","16,599","653,114",Commercial
1971,"28,571,600","12,960","687,346",Commercial
1972,"44,689,800","20,271","1,423,680",Commercial
1973,"37,229,300","16,887","1,079,550",Commercial
1974,"47,398,000","21,500","1,792,546",Commercial
1975,"38,247,800","17,349","1,422,695",Commercial
1976,"70,233,700","31,858","3,053,366",Commercial
1977,"73,050,200","33,135","3,545,465",Commercial
1978,"66,895,200","30,343","3,781,612",Commercial
1979,"89,375,200","40,540","4,583,641",Commercial
1980,"107,823,100","48,908","5,976,744",Commercial
1981,"114,593,000","51,979","6,435,366",Commercial
1982,"51,161,200","23,207","2,758,156",Commercial
1983,"40,037,000","18,161","2,171,224",Commercial
1984,"46,876,880","21,263","2,553,751",Commercial
1985,"32,121,100","14,570","1,905,771",Commercial
1986,"43,645,200","19,797","2,440,185",Commercial
1987,"45,159,200","20,484","2,551,467",Commercial
1988,"36,445,200","16,531","2,369,172",Commercial
1989,"34,447,600","15,625","1,882,553",Commercial
1990,"49,783,482","22,582","2,686,941",Commercial
1991,"53,630,630","24,327","3,601,524",Commercial
1992,"61,835,897","28,049","3,947,739",Commercial
1993,"76,608,916","34,750","4,832,917",Commercial
1994,"77,880,656","35,326","4,642,753",Commercial
1995,"94,853,634","43,025","5,760,054",Commercial
1996,"111,016,104","50,357","6,804,505",Commercial
1997,"123,236,972","55,900","7,075,372",Commercial
1998,"68,255,041","30,960","4,746,242",Commercial
1999,"111,415,907","50,538","7,710,270",Commercial
2000,"100,096,801","45,404","6,400,254",Commercial
2001,"115,824,675","52,538","7,164,559",Commercial
2002,"67,168,589","30,467","4,618,318",Commercial
2003,"96,680,581","43,854","7,296,176",Commercial
2004,"89,687,488","40,682","7,952,714",Commercial
2005,"87,374,650","39,633","9,341,105",Commercial
2006,"97,843,094","44,381","10,729,438",Commercial
2007,"74,817,112","33,937","9,173,390",Commercial
2008,"67,730,579","30,722","8,396,486",Commercial
2009,"64,605,734","29,305","7,866,593",Commercial
2010,"58,753,160","26,650","8,965,515",Commercial
2011,"97,065,521","44,029","14,396,559",Commercial
2012,"92,527,650","41,970","14,493,545",Commercial
2013,"98,858,907","44,842","15,509,124",Commercial
2014,"103,529,819","46,961","16,211,606",Commercial
2015,"86,441,433","39,210","13,526,054",Commercial
2016,"78,425,124","35,573","19,487,578",Commercial
2017,"65,485,448","29,704","17,767,195",Commercial
2018,"62,272,029","28,246","16,701,369",Commercial
2019,"13,637,560","6,186","5,979,171",Commercial
2020,"11,681,094","5,299","4,259,373",Commercial
2021,"4,964,700","2,252","1,884,602",Commercial